Shrimps,Avocado,Almonds,Vegetable Milk,Mineral Water,Yams,Cottage Cheese,Energy Drink,Tomato Juice,Low Fat Yogurt,Green Tea,Honey,Salad
Burgers,Oats,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Meatballs,Mineral Water,Shrimps,Milk,Oats,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Eggs,Eggs,Mineral Water,Butter,Almond,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bread,Cold Drink,Green Grapes,Butter,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Avocado,Mineral Water,Bread,,Butter,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cold Drink,Shrimps,Green Tea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Shrimps,Whole Wheat Flour,Avocado,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Vegetable Milk,Shrimps,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Green Grapes,Whole Wheat Flour,Avocado,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Energy Drink,Whole Wheat Rice,Mineral Water,Tomato Juice,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Honey,Whole Wheat Flour,Yams,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Yams,Shrimps,Biscuit,Vegetable MIlk,Green Grapes,Milk,Energy Drink,Mineral Water,Cold Drink,NaN,NaN,NaN,NaN
Cottage Cheese,Burgers,Cold Drink,Milk,Whole Wheat Flour,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Tomato Juice,Whole Wheat Flour,Avocado,Yams,Mineral Water,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Honey,Yams,Mineral Water,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Low Fat Yogurt,Avocado,Butter,Bread,Green Tea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Green Tea,Shrimps,Green Tea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mineral Water,Avocado,Whole White Flour,Milk,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Salad,Yams,Milk,Energy Drink,Yogurt,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Milk,Oats,Butter ,Bread,Mineral Water,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Whole Wheat Flour,Eggs,Milk,Avocado,Yams,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
